Training Log:
step 1/6000 loss=3.4125
step 2/6000 loss=3.4424
step 3/6000 loss=3.5045
step 4/6000 loss=3.4744
step 5/6000 loss=3.5070
step 6/6000 loss=3.3921
step 7/6000 loss=3.4484
step 8/6000 loss=3.4895
step 9/6000 loss=3.4007
Run Log:
Timesteps for transformer:2235
Timesteps for FCFS:2235
Timesteps for SJF:2235
Timesteps for RR:2235
Timesteps for SRTF:2235
Timestep 0: Transformer: -0.00084, FCFS: -0.00046, SJF: -0.01, RR: -0.01, SRTF: -0.00046
Timestep 1280: Transformer: -9.210910000000002, FCFS: -8.46018, SJF: -9.34605, RR: -9.71842, SRTF: -8.308510000000002
Timestep 1290: Transformer: -8.841170000000002, FCFS: -8.53238, SJF: -9.41825, RR: -9.795219999999999, SRTF: -8.38071
Timestep 1300: Transformer: -8.91337, FCFS: -8.604580000000002, SJF: -9.49045, RR: -9.87202, SRTF: -8.45291
Timestep 1310: Transformer: -8.98902, FCFS: -8.67678, SJF: -9.56265, RR: -9.94882, SRTF: -8.525110000000002
Timestep 1320: Transformer: -9.06582, FCFS: -8.748980000000001, SJF: -9.634849999999998, RR: -10.025620000000002, SRTF: -8.59731
Timestep 1330: Transformer: -9.13963, FCFS: -8.82118, SJF: -9.70705, RR: -10.10242, SRTF: -8.669509999999999
Timestep 1340: Transformer: -9.21183, FCFS: -8.89338, SJF: -9.779250000000001, RR: -10.17922, SRTF: -8.741710000000001
Timestep 1350: Transformer: -9.28633, FCFS: -8.965580000000001, SJF: -9.85145, RR: -10.256020000000001, SRTF: -8.81391
Timestep 1360: Transformer: -9.36083, FCFS: -9.03778, SJF: -9.92365, RR: -10.33282, SRTF: -8.887110000000002
Timestep 1370: Transformer: -9.433720000000001, FCFS: -9.10998, SJF: -9.99585, RR: -10.40962, SRTF: -8.96161
Timestep 1380: Transformer: -9.50592, FCFS: -9.18218, SJF: -10.06805, RR: -10.48642, SRTF: -9.03611
Timestep 1390: Transformer: -9.57812, FCFS: -9.254380000000001, SJF: -10.14025, RR: -10.563220000000001, SRTF: -9.10854
Timestep 1400: Transformer: -9.65032, FCFS: -9.326580000000002, SJF: -10.212449999999999, RR: -10.64002, SRTF: -9.18074
Timestep 1410: Transformer: -9.722520000000001, FCFS: -9.39878, SJF: -10.284650000000001, RR: -10.71682, SRTF: -9.252940000000002
Timestep 1420: Transformer: -9.794720000000002, FCFS: -9.47098, SJF: -10.356850000000001, RR: -10.79362, SRTF: -9.325140000000001
Timestep 1430: Transformer: -9.86692, FCFS: -9.54318, SJF: -10.42905, RR: -10.87042, SRTF: -9.397340000000002
Timestep 1440: Transformer: -9.93912, FCFS: -9.61538, SJF: -10.50125, RR: -10.94722, SRTF: -9.46954
Timestep 1450: Transformer: -10.011320000000001, FCFS: -9.68758, SJF: -10.57345, RR: -11.02402, SRTF: -9.54174
Timestep 1460: Transformer: -10.08352, FCFS: -9.759780000000001, SJF: -10.64565, RR: -11.10082, SRTF: -9.613940000000001
Timestep 1470: Transformer: -10.15572, FCFS: -9.12208, SJF: -10.71785, RR: -11.17762, SRTF: -9.68614
Timestep 1480: Transformer: -10.22792, FCFS: -9.48589, SJF: -10.790049999999999, RR: -11.25442, SRTF: -9.75834
Timestep 1490: Transformer: -10.300120000000001, FCFS: -9.56039, SJF: -10.862250000000001, RR: -11.33122, SRTF: -9.830540000000001
Timestep 1500: Transformer: -10.372320000000002, FCFS: -9.632819999999999, SJF: -10.93445, RR: -11.408019999999999, SRTF: -9.902740000000001
Timestep 1510: Transformer: -10.44452, FCFS: -9.70502, SJF: -11.00665, RR: -11.48482, SRTF: -9.974940000000002
Timestep 1520: Transformer: -10.516720000000001, FCFS: -9.777220000000002, SJF: -11.078850000000001, RR: -11.561620000000001, SRTF: -10.04714
Timestep 1530: Transformer: -10.58892, FCFS: -9.84942, SJF: -11.15105, RR: -11.638420000000002, SRTF: -10.119340000000001
Timestep 1540: Transformer: -10.66112, FCFS: -9.92162, SJF: -11.22325, RR: -11.71522, SRTF: -10.19154
Timestep 1550: Transformer: -10.73332, FCFS: -9.99382, SJF: -11.295449999999999, RR: -11.79202, SRTF: -10.26374
Timestep 1560: Transformer: -10.805520000000001, FCFS: -10.06602, SJF: -11.36765, RR: -11.868820000000001, SRTF: -10.33594
Timestep 1570: Transformer: -10.877720000000002, FCFS: -10.13822, SJF: -11.439850000000002, RR: -11.94562, SRTF: -10.091399999999998
Timestep 1580: Transformer: -10.94992, FCFS: -10.21042, SJF: -11.51205, RR: -12.02242, SRTF: -10.455210000000001
Timestep 1590: Transformer: -11.022120000000001, FCFS: -10.282620000000001, SJF: -11.03265, RR: -12.09922, SRTF: -10.52458
Timestep 1600: Transformer: -11.094320000000002, FCFS: -10.35482, SJF: -11.108070000000001, RR: -12.176020000000001, SRTF: -10.60368
Timestep 1610: Transformer: -11.16652, FCFS: -10.42702, SJF: -10.871809999999998, RR: -12.25282, SRTF: -10.680480000000003
Timestep 1620: Transformer: -11.23872, FCFS: -10.499220000000001, SJF: -11.24267, RR: -12.32962, SRTF: -10.755210000000002
Timestep 1630: Transformer: -11.31092, FCFS: -10.57142, SJF: -11.32131, RR: -12.40642, SRTF: -10.827410000000002
Timestep 1640: Transformer: -11.383120000000002, FCFS: -10.64362, SJF: -11.39627, RR: -12.48322, SRTF: -10.899610000000001
Timestep 1650: Transformer: -11.455320000000002, FCFS: -10.715819999999999, SJF: -11.470770000000002, RR: -12.56002, SRTF: -10.971810000000001
Timestep 1660: Transformer: -11.52752, FCFS: -10.28794, SJF: -11.543200000000002, RR: -12.63682, SRTF: -11.044010000000002
Timestep 1670: Transformer: -11.599720000000001, FCFS: -10.360140000000001, SJF: -11.615400000000001, RR: -12.71362, SRTF: -11.11621
Timestep 1680: Transformer: -11.67192, FCFS: -10.43234, SJF: -11.687600000000002, RR: -12.79042, SRTF: -11.188410000000001
Timestep 1690: Transformer: -11.74412, FCFS: -10.50454, SJF: -11.7598, RR: -12.86722, SRTF: -11.26061
Timestep 1700: Transformer: -11.816320000000001, FCFS: -10.57674, SJF: -11.832, RR: -12.94402, SRTF: -11.332810000000002
Timestep 1710: Transformer: -11.88852, FCFS: -10.64894, SJF: -11.904200000000001, RR: -13.020819999999999, SRTF: -11.405010000000003
Timestep 1720: Transformer: -11.960720000000002, FCFS: -10.72114, SJF: -11.9764, RR: -13.097620000000001, SRTF: -11.477210000000001
Timestep 1730: Transformer: -12.03292, FCFS: -10.79334, SJF: -12.048600000000002, RR: -13.174420000000001, SRTF: -11.549410000000002
Timestep 1740: Transformer: -12.105120000000001, FCFS: -10.865540000000001, SJF: -12.120800000000001, RR: -13.25122, SRTF: -11.62161
Timestep 1750: Transformer: -12.177320000000002, FCFS: -10.93774, SJF: -11.595640000000001, RR: -13.32802, SRTF: -11.693810000000001
Timestep 1760: Transformer: -12.24952, FCFS: -11.00994, SJF: -11.650830000000003, RR: -13.40482, SRTF: -11.766010000000001
Timestep 1770: Transformer: -12.321720000000001, FCFS: -11.08214, SJF: -11.70495, RR: -13.481620000000001, SRTF: -11.838210000000002
Timestep 1780: Transformer: -12.39392, FCFS: -10.29586, SJF: -11.78589, RR: -13.55842, SRTF: -11.910410000000002
Timestep 1790: Transformer: -12.46612, FCFS: -10.658059999999999, SJF: -11.865910000000003, RR: -13.63522, SRTF: -11.982610000000001
Timestep 1800: Transformer: -12.538320000000002, FCFS: -10.73026, SJF: -11.94133, RR: -13.71202, SRTF: -11.754990000000001
Timestep 1810: Transformer: -12.610520000000001, FCFS: -10.80246, SJF: -12.015830000000001, RR: -13.78882, SRTF: -11.82719
Timestep 1820: Transformer: -12.682720000000002, FCFS: -10.87466, SJF: -12.08895, RR: -13.86562, SRTF: -11.899390000000002
Timestep 1830: Transformer: -12.75492, FCFS: -10.946860000000001, SJF: -12.161150000000001, RR: -13.94242, SRTF: -11.971590000000003
Timestep 1840: Transformer: -12.190620000000001, FCFS: -11.01906, SJF: -12.233350000000002, RR: -14.01922, SRTF: -12.043790000000001
Timestep 1850: Transformer: -12.263510000000002, FCFS: -11.09126, SJF: -12.30555, RR: -14.09602, SRTF: -12.115990000000002
Timestep 1860: Transformer: -12.34031, FCFS: -11.16346, SJF: -12.37775, RR: -14.17282, SRTF: -12.18819
Timestep 1870: Transformer: -12.417110000000001, FCFS: -11.23566, SJF: -11.84537, RR: -14.24962, SRTF: -12.260390000000001
Timestep 1880: Transformer: -12.49161, FCFS: -11.30786, SJF: -11.917570000000001, RR: -14.326419999999999, SRTF: -12.332590000000001
Timestep 1890: Transformer: -12.566110000000002, FCFS: -11.380059999999999, SJF: -11.989770000000002, RR: -14.40322, SRTF: -12.40479
Timestep 1900: Transformer: -12.639690000000002, FCFS: -11.45226, SJF: -12.06197, RR: -14.48002, SRTF: -12.476990000000002
Timestep 1910: Transformer: -12.71189, FCFS: -11.524460000000001, SJF: -12.134170000000001, RR: -14.55682, SRTF: -12.549190000000001
Timestep 1920: Transformer: -12.78409, FCFS: -11.59666, SJF: -12.20637, RR: -14.63362, SRTF: -12.621390000000002
